Id_Number,Location,Yelp,Google,Average
1,Donato's taco shop,3.5,4.2,3.85
2,Oscar's Mexican food,3.5,3.3,3.4
3,Oscar's Mexican food,3.5,3.3,3.4
4,Oscar's Mexican food,3.5,3.3,3.4
5,Pollos Maria,4,3.8,3.9
6,Pollos Maria,4,3.8,3.9
7,Nico's Taco Shop,3,2.9,2.95
8,Nico's Taco Shop,3,2.9,2.95
9,Los Primos Mexican Food,3,3.7,3.35
10,JV's Mexican Food,4,4.1,4.05
11,JV's Mexican Food,4,4.1,4.05
12,Tony's Fresh Mexican Food,3,4.1,3.55
13,Tony's Fresh Mexican Food,3,4.1,3.55
14,Tony's Fresh Mexican Food,3,4.1,3.55
15,Tony's Fresh Mexican Food,3,4.1,3.55
16,Taco Stand,4.5,4.4,4.45
17,Taco Stand,4.5,4.4,4.45
18,Graciela's Taco Shop,4,4.5,4.25
19,Graciela's Taco Shop,4,4.5,4.25
20,Rigoberto's Taco Shop La Jolla,2.5,4,3.25
21,Rigoberto's Taco Shop La Jolla,2.5,4,3.25
22,Lolita's taco shop,4,4.4,4.2
23,Lolita's taco shop,4,4.4,4.2
24,Taco Stand,4,4.4,4.2
25,Taco Stand,4,4.4,4.2
26,Lola's 7 Up Market & Deli,4.5,4.9,4.7
27,Lola's 7 Up Market & Deli,4.5,4.9,4.7
28,Colima's Mexican Food,4,4.2,4.1
29,Colima's Mexican Food,4,4.2,4.1
30,Colima's Mexican Food,4,4.2,4.1
31,Rigoberto's Taco Shop,4,4.4,4.2
32,Rigoberto's Taco Shop,4,4.4,4.2
33,Raul's Mexican food,4,4.2,4.1
34,Raul's Mexican food,4,4.2,4.1
35,El Zarape,4,4.4,4.2
36,El Zarape,4,4.4,4.2
37,El Zarape,4,4.4,4.2
38,El Zarape,4,4.4,4.2
39,El Indio,3.5,3.9,3.7
40,Taco stand,3.5,3.9,3.7
41,Taco stand,3.5,3.9,3.7
42,"Qdoba Mexican Grill, Seatac Airport",,,0
43,Cancun Mexican & Seafood,4.5,4.1,4.3
44,Cancun Mexican & Seafood,4.5,4.1,4.3
45,Vallarta express,3.5,4,3.75
46,Vallarta express,3.5,4,3.75
47,Vallarta express,3.5,4,3.75
48,Vallarta express,3.5,4,3.75
49,Vallarta express,3.5,4,3.75
50,Vallarta express,3.5,4,3.75
51,Mikes Taco Club,4.5,4.9,4.7
52,Mikes Taco Club,4.5,4.9,4.7
53,La Perla Cocina,4.5,4.7,4.6
54,La Perla Cocina,4.5,4.7,4.6
55,Porkyland ,4,4.4,4.2
56,Porkyland ,4,4.4,4.2
57,Porkyland ,4,4.4,4.2
58,Porkyland ,4,4.4,4.2
59,Rigoberto's Taco Shop,4,4.4,4.2
60,Rigoberto's Taco Shop,4,4.4,4.2
61,Rigoberto's Taco Shop,4,4.4,4.2
62,Rigoberto's Taco Shop,4,4.4,4.2
63,Rudy's Taco Shop,4,4.3,4.15
64,Rudy's Taco Shop,4,4.3,4.15
65,Taco stand,4,4.3,4.15
66,Taco stand,4,4.3,4.15
67,California Burritos,4.5,4.4,4.45
68,California Burritos,4.5,4.4,4.45
69,California Burritos,4.5,4.4,4.45
70,California Burritos,4.5,4.4,4.45
71,California Burritos,4.5,4.4,4.45
72,Vallarta express,4.5,4.4,4.45
73,Vallarta express,4.5,4.4,4.45
74,Jorge's Mexicatessen,4,4.5,4.25
75,Jorge's Mexicatessen,4,4.5,4.25
76,Senor Grubby's,4,4.1,4.05
77,Senor Grubby's,4,4.1,4.05
78,Taco stand,4,4.1,4.05
79,Mi Asador Mexican & Seafood ,4.5,4.4,4.45
80,Mi Asador Mexican & Seafood ,4.5,4.4,4.45
81,Sotos Mexican Food,4.5,4.6,4.55
82,Sotos Mexican Food,4.5,4.6,4.55
83,Taco stand,,,0
84,Taco stand,,,0
85,Taco stand,,,0
86,Taco stand,,,0
87,Taco stand,,,0
88,Taco stand,,,0
89,Taco stand,,,0
90,Vallarta express,,,0
91,Lolita's taco shop,,,0
92,Lolita's taco shop,,,0
93,Lolita's taco shop,,,0
94,Rigoberto's Taco Shop,,,0
95,Rigoberto's Taco Shop,,,0
96,Rigoberto's Taco Shop,,,0
97,Rigoberto's Taco Shop,,,0
98,Rigoberto's Taco Shop,,,0
99,Rigoberto's Taco Shop,,,0
100,Rigoberto's Taco Shop,,,0
101,Karina's Taco Shop ,4,4.2,4.1
102,Karina's Taco Shop ,4,4.2,4.1
103,Juanita's Taco Shop,4,4.5,4.25
104,Juanita's Taco Shop,4,4.5,4.25
105,Goody's,3.5,4.1,3.8
106,Pedro's Tacos,,,0
107,Los Primos Mexican Food,,,0
108,Kotija Jr.,,,0
109,La Perla Cocina,,,0
110,Goody's,,,0
111,Goody's,,,0
112,Chipotle,,,0
113,Rigoberto's Taco Shop,,,0
114,Taco Surf PB,4,4.6,4.3
115,Taco Surf PB,4,4.6,4.3
116,Taco Surf PB,4,4.6,4.3
117,Roberto's Very Mexican Food,3.5,3.9,3.7
118,Roberto's Very Mexican Food,3.5,3.9,3.7
119,Netos Mexican Food,4.5,4.1,4.3
120,Netos Mexican Food,4.5,4.1,4.3
121,Lolita's Taco shop,,,0
122,Lolita's Taco shop,,,0
123,Lolita's Taco shop,,,0
124,Pokirrito,4,4.3,4.15
125,Pokirrito,4,4.3,4.15
126,Los Primos Mexican Food,,,0
127,El Nopalito ,4,4,4
128,El Nopalito ,4,4,4
129,Goody's,,,0
130,Saguaro's ,,,0
131,Colima's ,,,0
132,"Alberto's 623 N Escondido Blvd, Escondido, CA 92025",,,0
133,MXN on Washington,,,0
134,El Zarape,,,0
135,Lolita's,,,0
136,Humbertos,,,0
137,Chili Peppers,,,0
138,Los Primos Mexican Food,,,0
139,Los Primos Mexican Food,,,0
140,Los Primos Mexican Food,,,0
141,Los Primos Mexican Food,,,0
142,Los Primos Mexican Food,,,0
143,Los Primos Mexican Food,,,0
144,Los tacos ,4,4.2,4.1
145,Los tacos ,4,4.2,4.1
146,Taco Stand,,,0
147,Taco Stand,,,0
148,Albertacos,3.5,3.9,3.7
149,Albertacos,3.5,3.9,3.7
150,El Rey Moro,4,3.8,3.9
151,Tacos por favor,4,4.1,4.05
152,Tacos por favor,4,4.1,4.05
153,Tacos por favor,4,4.1,4.05
154,El Dorado Mexican Food,4.5,4,4.25
155,El Dorado Mexican Food,4.5,4,4.25
156,Lolita's Taco Shop,,,0
157,Lolita's Taco Shop,,,0
158,Lolita's Taco Shop,,,0
159,Lolita's Taco Shop,,,0
160,California Burritos,,,0
161,California Burritos,,,0
162,California Burritos,,,0
163,California Burritos,,,0
164,California Burritos,,,0
165,California Burritos,,,0
166,California Burritos,,,0
167,California Burritos,,,0
168,California Burritos,,,0
169,California Burritos,,,0
170,California Burritos,,,0
171,California Burritos,,,0
172,California Burritos,,,0
173,California Burritos,,,0
174,California Burritos,,,0
175,California Burritos,,,0
176,Los Primos Mexican Food,,,0
177,Los Primos Mexican Food,,,0
178,Los Primos Mexican Food,,,0
179,Papa Chito's Mexican Food,2.5,3.3,2.9
180,Papa Chito's Mexican Food,2.5,3.3,2.9
181,El Pueblo Mexican Food,4,4.7,4.35
182,Burros and Fries,3.5,4.1,3.8
183,Burros and Fries,3.5,4.1,3.8
184,King Burrito,4,3.9,3.95
185,King Burrito,4,3.9,3.95
186,Taco Stand,,,0
187,Taco Stand,,,0
188,Carmen's Mexican Food,4,4.2,4.1
189,Carmen's Mexican Food,4,3.9,3.95
190,Senor Panchos,4,4.2,4.1
191,Senor Panchos,4,4.2,4.1
192,Los Cabos,4,4.1,4.05
193,Los Cabos,,,0
194,Rubios UCSD,3.5,3.4,3.45
195,Lucha Libre North Park,3.5,4.3,3.9
196,Lucha Libre North Park,3.5,4.3,3.9
197,Lucha Libre North Park,3.5,4.3,3.9
198,Lucha Libre North Park,3.5,4.3,3.9
199,Lucha Libre North Park,3.5,4.3,3.9
200,Lucha Libre North Park,3.5,4.3,3.9
201,Lucha Libre North Park,3.5,4.3,3.9
202,Lucha Libre North Park,3.5,4.3,3.9
203,Lucha Libre North Park,3.5,4.3,3.9
204,Lucha Libre North Park,3.5,4.3,3.9
205,Lucha Libre North Park,3.5,4.3,3.9
206,Lucha Libre North Park,3.5,4.3,3.9
207,Lucha Libre North Park,3.5,4.3,3.9
208,Lucha Libre North Park,3.5,4.3,3.9
209,Lucha Libre North Park,3.5,4.3,3.9
210,Lucha Libre North Park,3.5,4.3,3.9
211,Lucha Libre North Park,3.5,4.3,3.9
212,Lucha Libre North Park,3.5,4.3,3.9
213,Lucha Libre North Park,3.5,4.3,3.9
214,Lucha Libre North Park,3.5,4.3,3.9
215,Lucha Libre North Park,3.5,4.3,3.9
216,Lucha Libre North Park,3.5,4.3,3.9
217,Lucha Libre North Park,3.5,4.3,3.9
218,Lucha Libre North Park,3.5,4.3,3.9
219,Lucha Libre North Park,3.5,4.3,3.9
220,Lucha Libre North Park,3.5,4.3,3.9
221,Lucha Libre North Park,3.5,4.3,3.9
222,Lucha Libre North Park,3.5,4.3,3.9
223,Tacos La Bala,4.5,4.1,4.3
224,Tacos La Bala,4.5,4.1,4.3
